id_artykulu,id_zrodla
43,16
43,17
45,18
46,18
47,18
48,16
48,17
49,16
49,17
49,19
49,20
50,16
50,17
52,18
52,19
52,20
54,18
55,16
55,17
55,19
55,20
58,18
58,19
59,16
59,17
60,16
60,17
61,16
61,17
61,19
61,20
62,16
62,17
63,18
63,19
63,20
64,11
64,12
64,16
64,17
65,11
65,12
65,16
65,17
66,11
66,12
66,16
66,17
44,16
44,17
44,19
44,20
51,18
43,11
43,12
44,11
44,12
44,14
44,15
45,13
46,13
47,13
48,11
48,12
49,11
49,12
49,14
49,15
50,11
50,12
51,13
51,14
52,13
52,14
52,15
54,13
55,11
55,12
55,14
55,15
58,13
58,14
59,11
59,12
60,11
60,12
61,11
61,12
61,14
61,15
62,11
62,12
63,13
63,14
63,15
