id_zrodla,nazwa,typ,kraj
11,NCN,Grant publiczny,Polska
12,NSF,Grant publiczny,USA
13,HorizonEU,Grant UE,Belgia
14,PrivateTechFund,Prywatny,USA
15,BioMedTrust,Prywatny,Niemcy
16,NCN,Grant publiczny,Polska
17,NSF,Grant publiczny,USA
18,HorizonEU,Grant UE,Belgia
19,PrivateTechFund,Prywatny,USA
20,BioMedTrust,Prywatny,Niemcy
21,NCN,Grant publiczny,Polska
22,NSF,Grant publiczny,USA
23,HorizonEU,Grant UE,Belgia
24,PrivateTechFund,Prywatny,USA
25,BioMedTrust,Prywatny,Niemcy
26,NCN,Grant publiczny,Polska
27,NSF,Grant publiczny,USA
28,HorizonEU,Grant UE,Belgia
29,PrivateTechFund,Prywatny,USA
30,BioMedTrust,Prywatny,Niemcy
